"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"lasso_final"	"Source"
"RCC3-1_None_Proximal tubule_Tumor"	"RCC3-1"	"None"	"Proximal tubule"	"Tumor"
"RCC3-1_None_Regulatory T cell_Tumor"	"RCC3-1"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-1_None_Tumor_Tumor"	"RCC3-1"	"None"	"Tumor"	"Tumor"
"RCC3-1_None_Vasa recta endothelium_Tumor"	"RCC3-1"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-10_None_B cell_Stroma"	"RCC3-10"	"None"	"B cell"	"Stroma"
"RCC3-10_None_Capillary endothelium_Stroma"	"RCC3-10"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-10_None_CD8 T cell_Stroma"	"RCC3-10"	"None"	"CD8 T cell"	"Stroma"
"RCC3-10_None_Collecting duct cell_Stroma"	"RCC3-10"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-10_None_Epithelial progenitor cell_Stroma"	"RCC3-10"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-10_None_Fibroblast_Stroma"	"RCC3-10"	"None"	"Fibroblast"	"Stroma"
"RCC3-10_None_gdT cell_Stroma"	"RCC3-10"	"None"	"gdT cell"	"Stroma"
"RCC3-10_None_Glomerular endothelium_Stroma"	"RCC3-10"	"None"	"Glomerular endothelium"	"Stroma"
"RCC3-10_None_Intercalated Cell_Stroma"	"RCC3-10"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-10_None_Intermediate monocyte_Stroma"	"RCC3-10"	"None"	"Intermediate monocyte"	"Stroma"
"RCC3-10_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-10"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-10_None_M2 macrophage (CD163)_Stroma"	"RCC3-10"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-10_None_Mast cell_Stroma"	"RCC3-10"	"None"	"Mast cell"	"Stroma"
"RCC3-10_None_Myeloid DC_Stroma"	"RCC3-10"	"None"	"Myeloid DC"	"Stroma"
"RCC3-10_None_Myofibroblast_Stroma"	"RCC3-10"	"None"	"Myofibroblast"	"Stroma"
"RCC3-10_None_Naive B cell_Stroma"	"RCC3-10"	"None"	"Naive B cell"	"Stroma"
"RCC3-10_None_Naive CD4 T cell_Stroma"	"RCC3-10"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-10_None_Naive T cell_Stroma"	"RCC3-10"	"None"	"Naive T cell"	"Stroma"
"RCC3-10_None_Neutrophil_Stroma"	"RCC3-10"	"None"	"Neutrophil"	"Stroma"
"RCC3-10_None_NK cell_Stroma"	"RCC3-10"	"None"	"NK cell"	"Stroma"
"RCC3-10_None_Non-classical monocyte_Stroma"	"RCC3-10"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-10_None_Pelvic epithelium_Stroma"	"RCC3-10"	"None"	"Pelvic epithelium"	"Stroma"
"RCC3-10_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-10"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-10_None_Podocyte_Stroma"	"RCC3-10"	"None"	"Podocyte"	"Stroma"
"RCC3-10_None_Principal cell_Stroma"	"RCC3-10"	"None"	"Principal cell"	"Stroma"
"RCC3-10_None_Proximal tubule_Stroma"	"RCC3-10"	"None"	"Proximal tubule"	"Stroma"
"RCC3-10_None_Regulatory T cell_Stroma"	"RCC3-10"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-10_None_Tumor_Stroma"	"RCC3-10"	"None"	"Tumor"	"Stroma"
"RCC3-10_None_Vasa recta endothelium_Stroma"	"RCC3-10"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-11_None_B cell_Tumor"	"RCC3-11"	"None"	"B cell"	"Tumor"
"RCC3-11_None_Capillary endothelium_Tumor"	"RCC3-11"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-11_None_Collecting duct cell_Tumor"	"RCC3-11"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-11_None_Epithelial progenitor cell_Tumor"	"RCC3-11"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-11_None_gdT cell_Tumor"	"RCC3-11"	"None"	"gdT cell"	"Tumor"
"RCC3-11_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-11"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-11_None_M2 macrophage (CD163)_Tumor"	"RCC3-11"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-11_None_Mast cell_Tumor"	"RCC3-11"	"None"	"Mast cell"	"Tumor"
"RCC3-11_None_Myofibroblast_Tumor"	"RCC3-11"	"None"	"Myofibroblast"	"Tumor"
"RCC3-11_None_Naive T cell_Tumor"	"RCC3-11"	"None"	"Naive T cell"	"Tumor"
"RCC3-11_None_Neutrophil_Tumor"	"RCC3-11"	"None"	"Neutrophil"	"Tumor"
"RCC3-11_None_NK cell_Tumor"	"RCC3-11"	"None"	"NK cell"	"Tumor"
"RCC3-11_None_Non-classical monocyte_Tumor"	"RCC3-11"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-11_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-11"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-11_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-11"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC3-11_None_Proximal tubule_Tumor"	"RCC3-11"	"None"	"Proximal tubule"	"Tumor"
"RCC3-11_None_Regulatory T cell_Tumor"	"RCC3-11"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-11_None_Tumor_Tumor"	"RCC3-11"	"None"	"Tumor"	"Tumor"
"RCC3-11_None_Vasa recta endothelium_Tumor"	"RCC3-11"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-12_None_B cell_Stroma"	"RCC3-12"	"None"	"B cell"	"Stroma"
"RCC3-12_None_Capillary endothelium_Stroma"	"RCC3-12"	"None"	"Capillary endothelium"	"Stroma"
"RCC3-12_None_CD8 T cell_Stroma"	"RCC3-12"	"None"	"CD8 T cell"	"Stroma"
"RCC3-12_None_Collecting duct cell_Stroma"	"RCC3-12"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-12_None_Fibroblast_Stroma"	"RCC3-12"	"None"	"Fibroblast"	"Stroma"
"RCC3-12_None_gdT cell_Stroma"	"RCC3-12"	"None"	"gdT cell"	"Stroma"
"RCC3-12_None_Intermediate monocyte_Stroma"	"RCC3-12"	"None"	"Intermediate monocyte"	"Stroma"
"RCC3-12_None_M1 Macrophage (STAT1)_Stroma"	"RCC3-12"	"None"	"M1 Macrophage (STAT1)"	"Stroma"
"RCC3-12_None_M2 macrophage (CD163)_Stroma"	"RCC3-12"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-12_None_Mast cell_Stroma"	"RCC3-12"	"None"	"Mast cell"	"Stroma"
"RCC3-12_None_Myeloid DC_Stroma"	"RCC3-12"	"None"	"Myeloid DC"	"Stroma"
"RCC3-12_None_Myofibroblast_Stroma"	"RCC3-12"	"None"	"Myofibroblast"	"Stroma"
"RCC3-12_None_Naive B cell_Stroma"	"RCC3-12"	"None"	"Naive B cell"	"Stroma"
"RCC3-12_None_Naive CD4 T cell_Stroma"	"RCC3-12"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-12_None_Naive T cell_Stroma"	"RCC3-12"	"None"	"Naive T cell"	"Stroma"
"RCC3-12_None_Neutrophil_Stroma"	"RCC3-12"	"None"	"Neutrophil"	"Stroma"
"RCC3-12_None_NK cell_Stroma"	"RCC3-12"	"None"	"NK cell"	"Stroma"
"RCC3-12_None_Non-classical monocyte_Stroma"	"RCC3-12"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-12_None_Pelvic epithelium_Stroma"	"RCC3-12"	"None"	"Pelvic epithelium"	"Stroma"
"RCC3-12_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-12"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-12_None_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC3-12"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC3-12_None_Proximal tubule_Stroma"	"RCC3-12"	"None"	"Proximal tubule"	"Stroma"
"RCC3-12_None_Regulatory T cell_Stroma"	"RCC3-12"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-12_None_Tumor_Stroma"	"RCC3-12"	"None"	"Tumor"	"Stroma"
"RCC3-12_None_Vasa recta endothelium_Stroma"	"RCC3-12"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-13_None_B cell_Tumor"	"RCC3-13"	"None"	"B cell"	"Tumor"
"RCC3-13_None_Capillary endothelium_Tumor"	"RCC3-13"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-13_None_CD8 T cell_Tumor"	"RCC3-13"	"None"	"CD8 T cell"	"Tumor"
"RCC3-13_None_Classical monocyte_Tumor"	"RCC3-13"	"None"	"Classical monocyte"	"Tumor"
"RCC3-13_None_Collecting duct cell_Tumor"	"RCC3-13"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-13_None_Fibroblast_Tumor"	"RCC3-13"	"None"	"Fibroblast"	"Tumor"
"RCC3-13_None_gdT cell_Tumor"	"RCC3-13"	"None"	"gdT cell"	"Tumor"
"RCC3-13_None_Intermediate monocyte_Tumor"	"RCC3-13"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-13_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-13"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-13_None_M2 macrophage (CD163)_Tumor"	"RCC3-13"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-13_None_Mast cell_Tumor"	"RCC3-13"	"None"	"Mast cell"	"Tumor"
"RCC3-13_None_Myeloid DC_Tumor"	"RCC3-13"	"None"	"Myeloid DC"	"Tumor"
"RCC3-13_None_Myofibroblast_Tumor"	"RCC3-13"	"None"	"Myofibroblast"	"Tumor"
"RCC3-13_None_Naive B cell_Tumor"	"RCC3-13"	"None"	"Naive B cell"	"Tumor"
"RCC3-13_None_Naive CD4 T cell_Tumor"	"RCC3-13"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-13_None_Naive T cell_Tumor"	"RCC3-13"	"None"	"Naive T cell"	"Tumor"
"RCC3-13_None_Neutrophil_Tumor"	"RCC3-13"	"None"	"Neutrophil"	"Tumor"
"RCC3-13_None_NK cell_Tumor"	"RCC3-13"	"None"	"NK cell"	"Tumor"
"RCC3-13_None_Non-classical monocyte_Tumor"	"RCC3-13"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-13_None_Pelvic epithelium_Tumor"	"RCC3-13"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-13_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-13"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-13_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-13"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC3-13_None_Proximal tubule_Tumor"	"RCC3-13"	"None"	"Proximal tubule"	"Tumor"
"RCC3-13_None_Regulatory T cell_Tumor"	"RCC3-13"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-13_None_Tumor_Tumor"	"RCC3-13"	"None"	"Tumor"	"Tumor"
"RCC3-13_None_Vasa recta endothelium_Tumor"	"RCC3-13"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-14_None_B cell_Stroma"	"RCC3-14"	"None"	"B cell"	"Stroma"
"RCC3-14_None_CD8 T cell_Stroma"	"RCC3-14"	"None"	"CD8 T cell"	"Stroma"
"RCC3-14_None_Collecting duct cell_Stroma"	"RCC3-14"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-14_None_Fibroblast_Stroma"	"RCC3-14"	"None"	"Fibroblast"	"Stroma"
"RCC3-14_None_gdT cell_Stroma"	"RCC3-14"	"None"	"gdT cell"	"Stroma"
"RCC3-14_None_Intermediate monocyte_Stroma"	"RCC3-14"	"None"	"Intermediate monocyte"	"Stroma"
"RCC3-14_None_M2 macrophage (CD163)_Stroma"	"RCC3-14"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-14_None_Mast cell_Stroma"	"RCC3-14"	"None"	"Mast cell"	"Stroma"
"RCC3-14_None_Myeloid DC_Stroma"	"RCC3-14"	"None"	"Myeloid DC"	"Stroma"
"RCC3-14_None_Myofibroblast_Stroma"	"RCC3-14"	"None"	"Myofibroblast"	"Stroma"
"RCC3-14_None_Naive B cell_Stroma"	"RCC3-14"	"None"	"Naive B cell"	"Stroma"
"RCC3-14_None_Naive CD4 T cell_Stroma"	"RCC3-14"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-14_None_Naive T cell_Stroma"	"RCC3-14"	"None"	"Naive T cell"	"Stroma"
"RCC3-14_None_Neutrophil_Stroma"	"RCC3-14"	"None"	"Neutrophil"	"Stroma"
"RCC3-14_None_NK cell_Stroma"	"RCC3-14"	"None"	"NK cell"	"Stroma"
"RCC3-14_None_Non-classical monocyte_Stroma"	"RCC3-14"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-14_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-14"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-14_None_Possibly Mid-Rep (Misc. Cells)_Stroma"	"RCC3-14"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Stroma"
"RCC3-14_None_Regulatory T cell_Stroma"	"RCC3-14"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-14_None_Tumor_Stroma"	"RCC3-14"	"None"	"Tumor"	"Stroma"
"RCC3-14_None_Vasa recta endothelium_Stroma"	"RCC3-14"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-15_None_B cell_Tumor"	"RCC3-15"	"None"	"B cell"	"Tumor"
"RCC3-15_None_CD8 T cell_Tumor"	"RCC3-15"	"None"	"CD8 T cell"	"Tumor"
"RCC3-15_None_Collecting duct cell_Tumor"	"RCC3-15"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-15_None_Epithelial progenitor cell_Tumor"	"RCC3-15"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-15_None_Fibroblast_Tumor"	"RCC3-15"	"None"	"Fibroblast"	"Tumor"
"RCC3-15_None_gdT cell_Tumor"	"RCC3-15"	"None"	"gdT cell"	"Tumor"
"RCC3-15_None_Intermediate monocyte_Tumor"	"RCC3-15"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-15_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-15"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-15_None_M2 macrophage (CD163)_Tumor"	"RCC3-15"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-15_None_Myeloid DC_Tumor"	"RCC3-15"	"None"	"Myeloid DC"	"Tumor"
"RCC3-15_None_Neutrophil_Tumor"	"RCC3-15"	"None"	"Neutrophil"	"Tumor"
"RCC3-15_None_NK cell_Tumor"	"RCC3-15"	"None"	"NK cell"	"Tumor"
"RCC3-15_None_Pelvic epithelium_Tumor"	"RCC3-15"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-15_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-15"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
"RCC3-15_None_Proximal tubule_Tumor"	"RCC3-15"	"None"	"Proximal tubule"	"Tumor"
"RCC3-15_None_Regulatory T cell_Tumor"	"RCC3-15"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-15_None_Tumor_Tumor"	"RCC3-15"	"None"	"Tumor"	"Tumor"
"RCC3-15_None_Vasa recta endothelium_Tumor"	"RCC3-15"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-16_None_B cell_Stroma"	"RCC3-16"	"None"	"B cell"	"Stroma"
"RCC3-16_None_CD8 T cell_Stroma"	"RCC3-16"	"None"	"CD8 T cell"	"Stroma"
"RCC3-16_None_Classical monocyte_Stroma"	"RCC3-16"	"None"	"Classical monocyte"	"Stroma"
"RCC3-16_None_Collecting duct cell_Stroma"	"RCC3-16"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-16_None_Epithelial progenitor cell_Stroma"	"RCC3-16"	"None"	"Epithelial progenitor cell"	"Stroma"
"RCC3-16_None_Fibroblast_Stroma"	"RCC3-16"	"None"	"Fibroblast"	"Stroma"
"RCC3-16_None_gdT cell_Stroma"	"RCC3-16"	"None"	"gdT cell"	"Stroma"
"RCC3-16_None_M2 macrophage (CD163)_Stroma"	"RCC3-16"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-16_None_Mast cell_Stroma"	"RCC3-16"	"None"	"Mast cell"	"Stroma"
"RCC3-16_None_Myeloid DC_Stroma"	"RCC3-16"	"None"	"Myeloid DC"	"Stroma"
"RCC3-16_None_Myofibroblast_Stroma"	"RCC3-16"	"None"	"Myofibroblast"	"Stroma"
"RCC3-16_None_Naive B cell_Stroma"	"RCC3-16"	"None"	"Naive B cell"	"Stroma"
"RCC3-16_None_Naive CD4 T cell_Stroma"	"RCC3-16"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-16_None_Naive T cell_Stroma"	"RCC3-16"	"None"	"Naive T cell"	"Stroma"
"RCC3-16_None_Neutrophil_Stroma"	"RCC3-16"	"None"	"Neutrophil"	"Stroma"
"RCC3-16_None_NK cell_Stroma"	"RCC3-16"	"None"	"NK cell"	"Stroma"
"RCC3-16_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-16"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-16_None_Podocyte_Stroma"	"RCC3-16"	"None"	"Podocyte"	"Stroma"
"RCC3-16_None_Proximal tubule_Stroma"	"RCC3-16"	"None"	"Proximal tubule"	"Stroma"
"RCC3-16_None_Regulatory T cell_Stroma"	"RCC3-16"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-16_None_Tumor_Stroma"	"RCC3-16"	"None"	"Tumor"	"Stroma"
"RCC3-16_None_Vasa recta endothelium_Stroma"	"RCC3-16"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-17_None_B cell_Tumor"	"RCC3-17"	"None"	"B cell"	"Tumor"
"RCC3-17_None_Capillary endothelium_Tumor"	"RCC3-17"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-17_None_CD8 T cell_Tumor"	"RCC3-17"	"None"	"CD8 T cell"	"Tumor"
"RCC3-17_None_Collecting duct cell_Tumor"	"RCC3-17"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-17_None_Epithelial progenitor cell_Tumor"	"RCC3-17"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-17_None_Fibroblast_Tumor"	"RCC3-17"	"None"	"Fibroblast"	"Tumor"
"RCC3-17_None_Intercalated Cell_Tumor"	"RCC3-17"	"None"	"Intercalated Cell"	"Tumor"
"RCC3-17_None_M2 macrophage (CD163)_Tumor"	"RCC3-17"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-17_None_Mast cell_Tumor"	"RCC3-17"	"None"	"Mast cell"	"Tumor"
"RCC3-17_None_Myeloid DC_Tumor"	"RCC3-17"	"None"	"Myeloid DC"	"Tumor"
"RCC3-17_None_Myofibroblast_Tumor"	"RCC3-17"	"None"	"Myofibroblast"	"Tumor"
"RCC3-17_None_Naive B cell_Tumor"	"RCC3-17"	"None"	"Naive B cell"	"Tumor"
"RCC3-17_None_Naive T cell_Tumor"	"RCC3-17"	"None"	"Naive T cell"	"Tumor"
"RCC3-17_None_Neutrophil_Tumor"	"RCC3-17"	"None"	"Neutrophil"	"Tumor"
"RCC3-17_None_NK cell_Tumor"	"RCC3-17"	"None"	"NK cell"	"Tumor"
"RCC3-17_None_Non-classical monocyte_Tumor"	"RCC3-17"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-17_None_Pelvic epithelium_Tumor"	"RCC3-17"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-17_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-17"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-17_None_Podocyte_Tumor"	"RCC3-17"	"None"	"Podocyte"	"Tumor"
"RCC3-17_None_Principal cell_Tumor"	"RCC3-17"	"None"	"Principal cell"	"Tumor"
"RCC3-17_None_Proximal tubule_Tumor"	"RCC3-17"	"None"	"Proximal tubule"	"Tumor"
"RCC3-17_None_Regulatory T cell_Tumor"	"RCC3-17"	"None"	"Regulatory T cell"	"Tumor"
"RCC3-17_None_Tumor_Tumor"	"RCC3-17"	"None"	"Tumor"	"Tumor"
"RCC3-17_None_Vasa recta endothelium_Tumor"	"RCC3-17"	"None"	"Vasa recta endothelium"	"Tumor"
"RCC3-18_None_B cell_Stroma"	"RCC3-18"	"None"	"B cell"	"Stroma"
"RCC3-18_None_CD8 T cell_Stroma"	"RCC3-18"	"None"	"CD8 T cell"	"Stroma"
"RCC3-18_None_Collecting duct cell_Stroma"	"RCC3-18"	"None"	"Collecting duct cell"	"Stroma"
"RCC3-18_None_Fibroblast_Stroma"	"RCC3-18"	"None"	"Fibroblast"	"Stroma"
"RCC3-18_None_Intercalated Cell_Stroma"	"RCC3-18"	"None"	"Intercalated Cell"	"Stroma"
"RCC3-18_None_M2 macrophage (CD163)_Stroma"	"RCC3-18"	"None"	"M2 macrophage (CD163)"	"Stroma"
"RCC3-18_None_Mast cell_Stroma"	"RCC3-18"	"None"	"Mast cell"	"Stroma"
"RCC3-18_None_Myeloid DC_Stroma"	"RCC3-18"	"None"	"Myeloid DC"	"Stroma"
"RCC3-18_None_Myofibroblast_Stroma"	"RCC3-18"	"None"	"Myofibroblast"	"Stroma"
"RCC3-18_None_Naive B cell_Stroma"	"RCC3-18"	"None"	"Naive B cell"	"Stroma"
"RCC3-18_None_Naive CD4 T cell_Stroma"	"RCC3-18"	"None"	"Naive CD4 T cell"	"Stroma"
"RCC3-18_None_Naive T cell_Stroma"	"RCC3-18"	"None"	"Naive T cell"	"Stroma"
"RCC3-18_None_Neutrophil_Stroma"	"RCC3-18"	"None"	"Neutrophil"	"Stroma"
"RCC3-18_None_NK cell_Stroma"	"RCC3-18"	"None"	"NK cell"	"Stroma"
"RCC3-18_None_Non-classical monocyte_Stroma"	"RCC3-18"	"None"	"Non-classical monocyte"	"Stroma"
"RCC3-18_None_Plasmacytoid dendritic cell_Stroma"	"RCC3-18"	"None"	"Plasmacytoid dendritic cell"	"Stroma"
"RCC3-18_None_Proximal tubule_Stroma"	"RCC3-18"	"None"	"Proximal tubule"	"Stroma"
"RCC3-18_None_Regulatory T cell_Stroma"	"RCC3-18"	"None"	"Regulatory T cell"	"Stroma"
"RCC3-18_None_Tumor_Stroma"	"RCC3-18"	"None"	"Tumor"	"Stroma"
"RCC3-18_None_Vasa recta endothelium_Stroma"	"RCC3-18"	"None"	"Vasa recta endothelium"	"Stroma"
"RCC3-19_None_B cell_Tumor"	"RCC3-19"	"None"	"B cell"	"Tumor"
"RCC3-19_None_Capillary endothelium_Tumor"	"RCC3-19"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-19_None_CD8 T cell_Tumor"	"RCC3-19"	"None"	"CD8 T cell"	"Tumor"
"RCC3-19_None_Classical monocyte_Tumor"	"RCC3-19"	"None"	"Classical monocyte"	"Tumor"
"RCC3-19_None_Collecting duct cell_Tumor"	"RCC3-19"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-19_None_Epithelial progenitor cell_Tumor"	"RCC3-19"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-19_None_Fibroblast_Tumor"	"RCC3-19"	"None"	"Fibroblast"	"Tumor"
"RCC3-19_None_Glomerular endothelium_Tumor"	"RCC3-19"	"None"	"Glomerular endothelium"	"Tumor"
"RCC3-19_None_Intercalated Cell_Tumor"	"RCC3-19"	"None"	"Intercalated Cell"	"Tumor"
"RCC3-19_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-19"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-19_None_M2 macrophage (CD163)_Tumor"	"RCC3-19"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-19_None_Mast cell_Tumor"	"RCC3-19"	"None"	"Mast cell"	"Tumor"
"RCC3-19_None_Myeloid DC_Tumor"	"RCC3-19"	"None"	"Myeloid DC"	"Tumor"
"RCC3-19_None_Myofibroblast_Tumor"	"RCC3-19"	"None"	"Myofibroblast"	"Tumor"
"RCC3-19_None_Naive B cell_Tumor"	"RCC3-19"	"None"	"Naive B cell"	"Tumor"
"RCC3-19_None_Neutrophil_Tumor"	"RCC3-19"	"None"	"Neutrophil"	"Tumor"
"RCC3-19_None_NK cell_Tumor"	"RCC3-19"	"None"	"NK cell"	"Tumor"
"RCC3-19_None_Non-classical monocyte_Tumor"	"RCC3-19"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-19_None_Pelvic epithelium_Tumor"	"RCC3-19"	"None"	"Pelvic epithelium"	"Tumor"
"RCC3-19_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-19"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
